# klaverjas spoor; spellen=200; zaad=6
7;2;2;4;3;7;53
7;2;3;1;1;9;38
7;3;0;4;0;9;57
7;3;1;3;2;8;53
7;3;2;2;1;H;68
7;3;3;1;0;H;3
7;4;0;2;2;B;54
7;4;1;3;2;V;40
7;4;2;4;0;8;12
7;4;3;1;2;9;3
7;5;0;4;3;B;13
7;5;1;3;1;8;53
7;5;2;2;3;8;4
7;5;3;1;3;A;38
7;6;0;3;1;T;9
7;6;1;4;3;V;53
7;6;2;1;2;H;53
7;6;3;2;3;9;53
7;7;0;1;0;T;56
7;7;1;4;3;H;53
7;7;2;3;1;B;53
7;7;3;2;2;7;53
7;8;0;3;2;A;9
7;8;1;4;1;V;53
7;8;2;1;2;T;36
7;8;3;2;3;T;53
7;=;0;80;72;10;0
8;1;0;1;1;T;63
8;1;1;4;1;8;40
8;1;2;3;1;V;36
8;1;3;2;1;A;38
8;2;0;4;2;T;7
8;2;1;3;2;7;34
8;2;2;2;2;9;4
8;2;3;1;2;H;3
8;3;0;4;1;H;9
8;3;1;3;3;7;53
8;3;2;2;3;T;68
8;3;3;1;0;8;29
8;4;0;3;2;8;5
8;4;1;4;0;B;65
8;4;2;1;2;B;36
8;4;3;2;2;A;38
8;5;0;4;3;H;13
8;5;1;3;3;V;40
8;5;2;2;3;8;23
8;5;3;1;0;V;29
8;6;0;1;0;A;58
8;6;1;4;1;B;53
8;6;2;3;1;7;53
8;6;3;2;0;7;38
8;7;0;1;0;9;58
8;7;1;4;3;A;53
8;7;2;3;1;9;53
8;7;3;2;3;9;53
8;8;0;3;2;V;5
8;8;1;4;0;T;65
8;8;2;1;0;H;35
8;8;3;2;3;B;68
8;=;0;62;90;0;10
9;1;0;2;3;V;7
9;1;1;3;2;7;53
9;1;2;4;3;A;6
9;1;3;1;3;7;3
9;2;0;2;3;B;58
9;2;1;3;0;B;53
9;2;2;4;0;9;69
9;2;3;1;3;H;3
9;3;0;2;3;9;58
9;3;1;3;1;V;53
9;3;2;4;2;8;53
9;3;3;1;3;T;38
9;4;0;4;1;A;9
9;4;1;3;2;H;53
9;4;2;2;1;7;4
9;4;3;1;1;8;3
9;5;0;4;1;T;9
9;5;1;3;0;8;53
9;5;2;2;1;H;36
9;5;3;1;1;9;38
9;6;0;2;0;7;47
9;6;1;3;0;H;40
9;6;2;4;3;8;28
9;6;3;1;0;V;3
9;7;0;4;2;9;13
9;7;1;3;2;A;16
9;7;2;2;2;B;23
9;7;3;1;0;T;68
9;8;0;3;2;T;9
9;8;1;4;1;B;53
9;8;2;1;0;A;53
9;8;3;2;2;V;38
9;=;3;49;103;10;0
10;1;0;1;0;T;7
10;1;1;4;0;9;40
10;1;2;3;0;B;6
10;1;3;2;0;A;38
10;2;0;3;0;H;57
10;2;1;4;0;8;40
10;2;2;1;0;7;36
10;2;3;2;2;9;53
10;3;0;1;2;A;8
10;3;1;4;3;8;53
10;3;2;3;3;V;69
10;3;3;2;2;B;38
10;4;0;3;0;V;55
10;4;1;4;3;H;53
10;4;2;1;1;V;68
10;4;3;2;1;9;53
10;5;0;3;3;7;13
10;5;1;4;3;A;40
10;5;2;1;3;9;36
10;5;3;2;3;T;38
10;6;0;4;2;H;9
10;6;1;3;2;8;40
10;6;2;2;1;H;53
10;6;3;1;2;7;3
10;7;0;4;2;T;9
10;7;1;3;1;7;53
10;7;2;2;1;T;53
10;7;3;1;2;V;38
10;8;0;4;3;B;9
10;8;1;3;1;8;53
10;8;2;2;1;A;53
10;8;3;1;1;B;53
10;=;0;85;67;20;10
11;1;0;2;3;B;58
11;1;1;3;3;T;34
11;1;2;4;3;8;36
11;1;3;1;3;7;38
11;2;0;4;1;9;5
11;2;1;3;3;A;65
11;2;2;2;1;8;34
11;2;3;1;1;B;32
11;3;0;1;1;A;2
11;3;1;4;1;T;40
11;3;2;3;0;B;69
11;3;3;2;1;H;38
11;4;0;1;2;T;63
11;4;1;4;2;H;40
11;4;2;3;2;B;36
11;4;3;2;2;7;3
11;5;0;3;0;8;13
11;5;1;4;0;V;16
11;5;2;1;0;H;23
11;5;3;2;0;T;38
11;6;0;4;2;8;5
11;6;1;3;3;9;65
11;6;2;2;2;9;36
11;6;3;1;2;V;38
11;7;0;3;0;9;13
11;7;1;4;0;7;40
11;7;2;1;0;A;36
11;7;3;2;3;V;29
11;8;0;4;2;A;9
11;8;1;3;1;V;53
11;8;2;2;3;H;35
11;8;3;1;1;7;53
11;=;3;73;79;0;10
12;1;0;3;0;T;7
12;1;1;4;0;H;34
12;1;2;1;0;B;6
12;1;3;2;3;9;53
12;2;0;1;3;8;54
12;2;1;4;3;B;34
12;2;2;3;0;7;12
12;2;3;2;3;T;38
12;3;0;3;0;9;57
12;3;1;4;0;V;40
12;3;2;1;2;T;68
12;3;3;2;1;7;53
12;4;0;3;1;B;13
12;4;1;4;1;9;40
12;4;2;1;1;8;36
12;4;3;2;1;T;46
12;5;0;2;1;A;8
12;5;1;3;1;H;40
12;5;2;4;3;H;69
12;5;3;1;2;8;53
12;6;0;4;3;7;5
12;6;1;3;0;8;65
12;6;2;2;2;B;53
12;6;3;1;2;H;68
12;7;0;3;0;A;55
12;7;1;4;3;V;53
12;7;2;1;2;V;68
12;7;3;2;1;V;53
12;8;0;3;2;7;13
12;8;1;4;3;A;53
12;8;2;1;2;9;36
12;8;3;2;2;A;38
12;=;0;99;53;0;60
13;1;0;2;3;H;7
13;1;1;3;3;8;40
13;1;2;4;3;T;6
13;1;3;1;3;7;3
13;2;0;4;3;A;57
13;2;1;3;2;9;53
